	test_statistic	p	-log2(p)	FDR_corrected_p
ZNF43_mutation_status	0.8472506930626444	0.35733126860687514	1.48466593106137	0.999934250474592
ZNF462_mutation_status	0.11567456907845992	0.7337739603417897	0.4465923867472672	0.999934250474592
ZNF521_mutation_status	0.2926917088880589	0.5885007609400502	0.7648838141967489	0.999934250474592
ZNF536_mutation_status	0.0009369900302531258	0.9755803334655799	0.035667419469192475	0.999934250474592
ZNF646_mutation_status	3.110259396603573	0.0778005687982554	3.684075487012838	0.9768293638003179
ZNF71_mutation_status	0.023367076520348903	0.8785063668756764	0.1868753528464498	0.999934250474592
ZNF804A_mutation_status	7.408905460754227e-05	0.9931322935227658	0.009942185294186048	0.999934250474592
ZNF804B_mutation_status	1.1191708093002157	0.29009707020958053	1.7853923695529441	0.999934250474592
ZNF831_mutation_status	0.11380499070911136	0.7358531073730086	0.44251029384310736	0.999934250474592
ZNF835_mutation_status	9.001664461652876	0.0026973383191897346	8.534247798755588	0.0975357536219008
ZNF99_mutation_status	0.1831256608298102	0.6687007441363686	0.5805673721232718	0.999934250474592
ZNFX1_mutation_status	0.14373339811870744	0.7045973608623708	0.5051290237983127	0.999934250474592
ZZEF1_mutation_status	0.048330574808043855	0.8259940847112595	0.275796644947592	0.999934250474592
